PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Male,AgeImputed,Embarked_C,Embarked_Q,Embarked_S,Embarked_missing,EmbarkedImputed,CabinLetter_A,CabinLetter_B,CabinLetter_C,CabinLetter_D,CabinLetter_E,CabinLetter_F,CabinLetter_G,CabinLetter_T,CabinLetter_missing,CabinLetterImputed,CabinNumber,CabinNumberImputed
1,0,3,22.0,1,0,7.25,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
2,1,1,38.0,1,0,71.2833,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,85,False
3,1,3,26.0,0,0,7.925,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
4,1,1,35.0,1,0,53.1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,123,False
5,0,3,35.0,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
6,0,3,28.0,0,0,8.4583,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
7,0,1,54.0,0,0,51.8625,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,46,False
8,0,3,2.0,3,1,21.075,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
9,1,3,27.0,0,2,11.1333,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
10,1,2,14.0,1,0,30.0708,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
11,1,3,4.0,1,1,16.7,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,6,False
12,1,1,58.0,0,0,26.55,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,103,False
13,0,3,20.0,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
14,0,3,39.0,1,5,31.275,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
15,0,3,14.0,0,0,7.8542,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
16,1,2,55.0,0,0,16.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
17,0,3,2.0,4,1,29.125,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
18,1,2,28.0,0,0,13.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
19,0,3,31.0,1,0,18.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
20,1,3,28.0,0,0,7.225,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
21,0,2,35.0,0,0,26.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
22,1,2,34.0,0,0,13.0,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,56,False
23,1,3,15.0,0,0,8.0292,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
24,1,1,28.0,0,0,35.5,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,6,False
25,0,3,8.0,3,1,21.075,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
26,1,3,38.0,1,5,31.3875,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
27,0,3,28.0,0,0,7.225,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
28,0,1,19.0,3,2,263.0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,23,False
29,1,3,28.0,0,0,7.8792,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
30,0,3,28.0,0,0,7.8958,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
31,0,1,40.0,0,0,27.7208,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
32,1,1,28.0,1,0,146.5208,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,78,False
33,1,3,28.0,0,0,7.75,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
34,0,2,66.0,0,0,10.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
35,0,1,28.0,1,0,82.1708,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
36,0,1,42.0,1,0,52.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
37,1,3,28.0,0,0,7.2292,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
38,0,3,21.0,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
39,0,3,18.0,2,0,18.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
40,1,3,14.0,1,0,11.2417,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
41,0,3,40.0,1,0,9.475,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
42,0,2,27.0,1,0,21.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
43,0,3,28.0,0,0,7.8958,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
44,1,2,3.0,1,2,41.5792,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
45,1,3,19.0,0,0,7.8792,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
46,0,3,28.0,0,0,8.05,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
47,0,3,28.0,1,0,15.5,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
48,1,3,28.0,0,0,7.75,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
